# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
#  
# Start date: 20210517
# End date: 20210523
Day,Users
0000,467
0001,383
0002,356
0003,370
0004,334
0005,340
0006,343

# Start date: 20210517
# End date: 20210523
Day,New users
0000,380
0001,300
0002,278
0003,288
0004,254
0005,252
0006,271

# Start date: 20210517
# End date: 20210523
Day,Average engagement time
0000,56.44967880085653
0001,81.97650130548303
0002,73.62359550561797
0003,100.91081081081082
0004,105.0059880239521
0005,84.29705882352941
0006,77.25072886297376

# Start date: 20210517
# End date: 20210523
Day,Total revenue


#  


#  


# Where do your new users come from?
# Start date: 20210517
# End date: 20210523
User medium,New users
organic,1772
(none),199
referral,52

#  
# Start date: 20210517
# End date: 20210523
Session medium,Sessions
organic,2713
(none),302
referral,52

# Where are your users visiting from?
# Start date: 20210325
# End date: 20210523
Country ID,Users,Users (Previous)
Mr. X and His Shots - HackerRank Solutions,9
Pointer C++ - HackerRank Solutions,8
Time Conversion - HackerRank Solutions,2
Utopian Tree - HackerRank Solutions,2
Variadic functions in C - HackerRank Solutions,2
What's Your Name? Python - HackerRank Solutions,11
collections.Counter() python - HackerRank Solutions,6
itertools.combinations_with_replacement() python - HackerRank Solutions,7
Build a String - HackerRank Solutions,9
Find Digits - HackerRank Solutions,4
Find a string Python - HackerRank Solutions,8
Java Inheritance II - HackerRank Solutions,0
Python If-Else - HackerRank Solutions,10
Sherlock and Squares - HackerRank Solutions,2
Array Pairs - HackerRank Solutions,7
Divisible Sum Pairs - HackerRank Solutions,3
Java Dequeue - HackerRank Solutions,5
Java Stdin and Stdout I - HackerRank Solutions,8
Jumping on the Clouds: Revisited - HackerRank Solutions,2
Lego Blocks - HackerRank Solutions,3
Max Min - HackerRank Solutions,3
Mod Divmod Python - HackerRank Solutions,5
Nested Lists - HackerRank Solutions,7
Recursive Digit Sum - HackerRank Solutions,3
Self-Driving Bus - HackerRank Solutions,7
Staircase - HackerRank Solutions,2
Structuring the Document C - HackerRank Solutions,1
The Love-Letter Mystery - HackerRank Solutions,8
Beautiful Binary String - HackerRank Solutions,7
Between Two Sets - HackerRank Solutions,2
Breaking the Records - HackerRank Solutions,2
Castle on the Grid - HackerRank Solutions,7
Classes and Objects C++ - HackerRank Solutions,3
