# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
#  
1610,2
1716,2
1718,2
1727,2
1802,2
1806,2
1851,2
1909,2
1921,2
5.1 Plus,2
A3003,2
A37f,2
CPH1723,2
CPH1819,2
CPH1881,2
CPH1893,2
CPH1933,2
CPH1945,2
CPH2083,2
G,2
HD1911,2
HRY-AL00Ta,2
I1927,2
JSN-L42,2
LG-M700,2
M2006C3LI,2
M2010J19CI,2
M2101K6I,2
M2101K7AI,2
M405F,2
MAX,2
Moto E6s,2
Moto G (4),2
Moto G5,2
One Power,2
Pixel 2,2
RMX1831,2
RMX1833,2
RMX2020,2
RMX2040,2
RMX2081,2
RMX2085,2
RMX2189,2
RMX3081,2
RMX3092,2
Redmi 7A,2
Redmi Note 3,2
SM-A105F,2
SM-A107F,2
SM-A525F,2
SM-A600G,2
SM-A707F,2
SM-A750F,2
SM-G611FF,2
SM-G615FU,2
SM-G770F,2
SM-G780F,2
SM-G935F,2
SM-G955U,2
SM-G960F,2
SM-G991B,2
SM-J210F,2
SM-J415F,2
SM-J730M,2
SM-N950F,2
SM-N960F,2
SM-N960U,2
TA-1032,2
TB-7504X,2
TB-X505X,2
X00PD,2
X01BDA,2
Y21L,2
1713,1
1805,1
1812,1
1916,1
2.2,1
2.3,1
3.1 Plus,1
4.2,1
5056E,1
7.2,1
8.1,1
9027Q,1
A1,1
A1601,1
A6013,1
A6020a46,1
ANE-LX2,1
Aqua Power HD,1
BLN-L22,1
C1 Lite,1
CPH1727,1
CPH1827,1
CPH1877,1
CPH1901,1
CPH2043,1
CPH2061,1
CPH2179,1
CPH2185,1
DRA-LX3,1
DUA-AL00,1
ELE-L29,1
Era 5X,1
F103,1
F103 Pro,1
F3212,1
G2299,1
G3116,1
G3416,1
GM1915,1
HS2,1
Hot 4 Pro,1
I001DE,1
I003DD,1
I01WD,1
I1928,1
ID5b,1
IN2,1
INE-LX1r,1
Internet Explorer,1
K420,1
K50a40,1
K53a48,1
KD7h,1
LA7,1
LM-F100,1
LM-Q630,1
M2006C3MI,1
M2007J20CG,1
MAR-LX1M,1
MRD-LX2,1
Mi 9T,1
Mi Max,1
Moto C Plus,1
Moto G (5S),1
Moto G 5G,1
Moto G6 Plus,1
Moto G7 Power,1
Moto e5 plus,1
Moto g(9),1
Nexus 10,1
One Action,1
One Vision,1
P41,1
P7 Max,1
PCT-AL10,1
Pixel 3,1
Pixel 3a,1
Pixel 4 XL,1
Pixel 4a,1
RMX1811,1
RMX2050,1
RMX2121,1
RMX2180,1
RNE-L22,1
Redmi K20,1
Redmi S2,1
Redmi Y1 Lite,1
S10 Lite,1
SCV42,1
SM-A310F,1
SM-A530W,1
SM-A705FN,1
SM-A750GN,1
SM-A805F,1
SM-A920F,1
SM-C900F,1
SM-E625F,1
SM-G611F,1
SM-G781B,1
SM-G928V,1
SM-G950F,1
SM-G950U1,1
SM-G955F,1
SM-G955U1,1
SM-G960U1,1
SM-G975F,1
SM-G985F,1
SM-J250F,1
SM-J260G,1
SM-J320F,1
SM-J600GF,1
SM-J710F,1
SM-J810F,1
SM-J810GF,1
SM-M013F,1
SM-M015G,1
SM-M025F,1
SM-N770F,1
SM-N985F,1
SM-T585,1
SNE-LX3,1
STK-L21,1
Snap 4G2,1
TB-X304L,1
V2024,1
V2031,1
V2037,1
V2040,1
VTR-L09,1
WX3,1
X00TDA,1
X573,1
X655F,1
X660,1
X682C,1
X9009,1
XT1710-02,1
Xperia D6633,1
Y53 1606,1
Y55 1603,1
YU5014,1
Z01RD,1
ZenFone Max Pro M1,1
hm note 1s,1
moto g(9) power,1
