# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
#  
# Start date: 20201123
# End date: 20210523
Day,New users
179,0.09448818897637795,0,0
180,0.06349206349206349,0,0
181,0.04059040590405904,0,0

#  
# Start date: 20201123
# End date: 20210523
Cohort,Day 1,Day 7,Day 30
0,0,0,0
1,0,0,0
2,0,3,0
3,0,0,0
4,0,0,0
5,5,0,0
6,48,0,0
7,0,0,0
8,27,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,197,0,0
22,0,0,0
23,0,0,0
24,597,0,0
25,392,0,0
26,0,0,63
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,3,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,74,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,1,0,0
50,5,0,0
51,0,0,0
52,0,0,0
53,3,0,0
54,11,0,0
55,20,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,5,0,0
77,11.333333333333334,0,24.5
78,2,0,0
79,859,0,0
80,92.5,0,0
81,2,0,0
82,0,0,0
83,5,525,0
84,0,0,0
85,12,0,0
86,11,0,0
87,0,0,0
88,99,63,0
89,0,0,0
90,0,0,0
91,19.5,158,0
92,65,0,0
93,18,97,0
94,1.5,0,18
95,0,68,0
96,0,0,0
97,68.5,0,77
98,60,31,0
99,7,0,0
100,32.4,101,0
101,13,0,0
102,0.14285714285714285,0,42
103,10,0,0
104,161,0,0
105,59.25,0,0
106,96.25,205,52
107,29,57,118
108,82.375,314,0
109,59.333333333333336,0,0
110,22.11111111111111,0,0
111,135.625,0,0
112,33.5,0,0
113,81.75,7,15
114,54,0,0
115,0,10,0
116,18,0,0
117,78,0,0
118,62.5,0,129
119,147,0,0
120,42.666666666666664,0,0
121,11.5,0,0
122,142.75,0,0
123,38.833333333333336,150,0
124,208.25,0,0
125,55.666666666666664,0,0
126,14,0,0
127,67.8,42,0
128,119.85714285714286,0,0
129,54.25,0,0
130,29,0,0
131,98.66666666666667,0,0
132,86.28571428571429,0,0
133,225.66666666666666,0,0
134,28,0,0
135,71.85714285714286,208.25,135
136,87.7,136,0
137,108.8,1729,135
138,16.75,0,39
139,13.4,16,0
140,239.5,35.5,0
141,80.66666666666667,42,10
142,104.4,0,0
143,22.09090909090909,34.5,17
144,64.33333333333333,11,0
145,26.625,862,0
146,164.54545454545453,1.5,0
147,50.63636363636363,0,30
148,43.125,0,655
149,19.545454545454547,59,26
150,136.71428571428572,357.5,29.5
151,14.666666666666666,0,0
152,46.25,111,0
153,8,20.2,0
154,109.57142857142857,186.33333333333334,0
155,26.22222222222222,90,0
156,22.545454545454547,19,0
157,42.06666666666667,292.5,0
158,78.55555555555556,82.66666666666667,0
159,34.125,12.666666666666666,0
160,39.333333333333336,93.33333333333333,0
161,94.94444444444444,97,0
162,340,20.333333333333332,0
163,61.17391304347826,149,0
164,592.9,37,0
165,51.06666666666667,5,0
166,36.94117647058823,36.25,0
167,137.875,120.66666666666667,0
168,15.615384615384615,30.2,0
169,263.1111111111111,15.75,0
170,74.47368421052632,28.25,0
171,100.3076923076923,166,0
172,52.31578947368421,0,0
173,264.5882352941176,26.5,0
174,39.26315789473684,55.333333333333336,0
175,63.03846153846154,108,0
176,95.88,0,0
177,75.8695652173913,0,0
178,366.6666666666667,0,0
179,57.375,0,0
180,58.6875,0,0
181,106.9090909090909,0,0

#  
# Start date: 20210412
# End date: 20210523
Cohort,Users
0000,1
0001,0.06171379421567574
0002,0.026910299003322258
0003,0.0165185691501481
0004,0.013725950258094791
0005,0.011169114969042127
0006,0.009674582233948988
0007,0.011620315968142055
0008,0.007418601456243989
0009,0.005841287932753954
0010,0.00477754553598089
0011,0.004056795131845842
0012,0.002486737400530504
0013,0.004912280701754386
0014,0.007881231671554252
0015,0.005431619786614937
0016,0.00632137030995106
0017,0.0034144259496372174
0018,0.003148897885739991
0019,0.005667060212514758
0020,0.00399800099950025
0021,0.0036939313984168864
0022,0.002488938053097345
0023,0.0026034133641886026
0024,0.00274390243902439
0025,0.003514376996805112
0026,0.003694994961370507
0027,0.002861230329041488
0028,0.0022753128555176336
0029,0.003737541528239203
0030,0.003561887800534283
0031,0.0024390243902439024
0032,0.0016816143497757848
0033,0.0027874564459930314
0034,0.0024489795918367346
0035,0.0018365472910927456
0036,0
0037,0.0012239902080783353
0038,0.003105590062111801
0039,0.0039603960396039604
0040,0
0041,0

#  
# Start date: 20210412
# End date: 20210523
Cohort,Average engagement time
0000,68.5142849570525
0001,102.91717464185324
0002,69.94129359800093
0003,65.49809523809525
0004,88.52454212454212
0005,61.95497076023391
0006,53.495045045045046
0007,89.05509259259259
0008,69.82619047619049
0009,42.08333333333333
0010,27.08080808080808
0011,29.723958333333332
0012,25.129032258064516
0013,62.5
0014,72.14367816091955
0015,37.85416666666667
0016,61.48765432098765
0017,35.839743589743584
0018,29.806666666666665
0019,65.375
0020,27.275362318840575
0021,57.40909090909091
0022,36.5
0023,24.7
0024,8.75438596491228
0025,89.13888888888889
0026,73.17647058823529
0027,106.4375
0028,71.93333333333334
0029,173.25
0030,59.03846153846154
0031,176.16666666666666
0032,237
0033,4.55
0034,11.5
0035,3.125
0036,0
0037,1.3333333333333333
0038,73.9
0039,22.875
0040,0
0041,0

#  
# Start date: 20210124
# End date: 20210523
Cohort,LTV
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
